LOINC #,Long Common Name,Short Name,CLASS,Rank
51656-7,Hepatitis C virus Ab Signal/Cutoff [Ratio] in Body fluid,HCV Ab s/co Fld,MICRO,280
4679-7,Reticulocytes/100 erythrocytes in Blood,Retics/100 RBC NFr,HEM/BC,281
22635-7,Pathology report microscopic observation Other stain,Path report.microscopic Spec Other Stn,TUMRRGT,282
38483-4,Creatinine [Mass/volume] in Blood,Creat Bld-mCnc,Chem,283
15150-6,Anisocytosis [Presence] in Blood by Automated count,Anisocytosis Bld Ql Auto,HEM/BC,284
14338-8,Prealbumin [Mass/volume] in Serum or Plasma,Prealb SerPl-mCnc,Chem,285
15198-5,Macrocytes [Presence] in Blood by Automated count,Macrocytes Bld Ql Auto,HEM/BC,286
33051-4,Erythrocytes [Presence] in Urine,RBC Ur Ql,UA,287
6299-2,Urea nitrogen [Mass/volume] in Blood,BUN Bld-mCnc,Chem,288
43396-1,Cholesterol non HDL [Mass/volume] in Serum or Plasma,NonHDLc SerPl-mCnc,Chem,289
2842-3,Prolactin [Mass/volume] in Serum or Plasma,Prolactin SerPl-mCnc,Chem,290
6598-7,Troponin T.cardiac [Mass/volume] in Serum or Plasma,Troponin T SerPl-mCnc,Chem,291
2888-6,Protein [Mass/volume] in Urine,Prot Ur-mCnc,UA,292
3393-6,Benzoylecgonine [Presence] in Urine,BZE Ur Ql,DRUG/TOX,293
9842-6,Casts [#/area] in Urine sediment by Microscopy low power field,Casts #/area UrnS LPF,UA,294
2069-3,Chloride [Moles/volume] in Blood,Chloride Bld-sCnc,Chem,295
5334-8,Rubella virus IgG Ab [Units/volume] in Serum by Immunoassay,RUBV IgG SerPl IA-aCnc,MICRO,296
20569-0,Creatine kinase.MB/Creatine kinase.total in Serum or Plasma,CK MB CFr SerPl,Chem,297
42931-6,Chlamydia trachomatis rRNA [Presence] in Urine by Probe & target amplification method ,C trach rRNA Ur Ql PCR,MICRO,298
15199-3,Microcytes [Presence] in Blood by Automated count,Microcytes Bld Ql Auto,HEM/BC,299
20629-2,Levofloxacin [Susceptibility],Levofloxacin Susc Islt,ABXBACT,300
3397-7,Cocaine [Presence] in Urine,Cocaine Ur Ql,DRUG/TOX,301
779-9,Poikilocytosis [Presence] in Blood by Light microscopy,Poikilocytosis Bld Ql Smear,HEM/BC,302
35591-7,Creatinine renal clearance predicted by Cockcroft-Gault formula,Creat Cl predicted SerPl C-G-vRate,Chem,303
32356-8,Yeast [Presence] in Urine sediment by Light microscopy,Yeast UrnS Ql Micro,UA,304
18878-9,Cefazolin [Susceptibility],Cefazolin Susc Islt,ABXBACT,305
740-1,Metamyelocytes/100 leukocytes in Blood by Manual count,Metamyelocytes/leuk NFr Bld Manual,HEM/BC,306
12851-2,Protein Fractions [interpretation] in Serum or Plasma by Electrophoresis,Prot Pattern SerPl Elph-Imp,Chem,307
31147-2,Reagin Ab [Titer] in Serum by RPR,RPR Ser-Titr,MICRO,308
25428-4,Glucose [Presence] in Urine by Test strip,Glucose Ur Ql Strip,UA,309
1960-4,Bicarbonate [Moles/volume] in Arterial blood,HCO3 BldA-sCnc,Chem,310
2111-3,Choriogonadotropin.beta subunit [Moles/volume] in Serum or Plasma,B-HCG SerPl-sCnc,Chem,311
2039-6,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma,CEA SerPl-mCnc,Chem,312
2862-1,Albumin [Mass/volume] in Serum or Plasma by Electrophoresis,Albumin SerPl Elph-mCnc,Chem,313
2871-2,Beta globulin [Mass/volume] in Serum or Plasma by Electrophoresis,B-Globulin SerPl Elph-mCnc,Chem,314
2865-4,Alpha 1 globulin [Mass/volume] in Serum or Plasma by Electrophoresis,Alpha1 Glob SerPl Elph-mCnc,Chem,315
2868-8,Alpha 2 globulin [Mass/volume] in Serum or Plasma by Electrophoresis,Alpha2 Glob SerPl Elph-mCnc,Chem,316
18906-8,Ciprofloxacin [Susceptibility],Ciprofloxacin Susc Islt,ABXBACT,317
2839-9,Progesterone [Mass/volume] in Serum or Plasma,Progest SerPl-mCnc,Chem,318
13950-1,Hepatitis A virus IgM Ab [Presence] in Serum by Immunoassay,HAV IgM SerPl Ql IA,MICRO,319
28541-1,Metamyelocytes/100 leukocytes in Blood,Metamyelocytes/leuk NFr Bld,HEM/BC,320
3936-2,Phencyclidine [Presence] in Urine,PCP Ur Ql,DRUG/TOX,321
48159-8,Hepatitis C virus Ab Signal/Cutoff [Ratio] in Serum or Plasma by Immunoassay,HCV Ab s/co SerPl IA,MICRO,322
2874-6,Gamma globulin [Mass/volume] in Serum or Plasma by Electrophoresis,Gamma glob SerPl Elph-mCnc,Chem,323
31201-7,HIV 1+2 Ab [Presence] in Serum by Immunoassay,HIV1+2 Ab SerPl Ql IA,MICRO,324
2991-8,Testosterone Free [Mass/volume] in Serum or Plasma,Testost Free SerPl-mCnc,Chem,325
58413-6,Nucleated erythrocytes/100 leukocytes [Ratio] in Blood by Automated count,nRBC/100 WBC Bld Auto-Rto,HEM/BC,326
36903-3,Chlamydia trachomatis+Neisseria gonorrhoeae DNA [Identifier] in Unspecified specimen by Probe & target amplification method,C trach+GC DNA XXX PCR,MICRO,327
580-1,Fungus identified in Unspecified specimen by Culture,Fungus XXX Cult,MICRO,328
2692-2,Osmolality of Serum or Plasma,Osmolality SerPl,Chem,329
18865-6,Ampicillin+Sulbactam [Susceptibility],Ampicillin+Sulbac Susc Islt,ABXBACT,330
18864-9,Ampicillin [Susceptibility],Ampicillin Susc Islt,ABXBACT,331
1558-6,Fasting glucose [Mass/volume] in Serum or Plasma,Glucose p fast SerPl-mCnc,CHAL,332
635-3,Bacteria identified in Unspecified specimen by Anaerobe culture,Bacteria XXX Anaerobe Cult,MICRO,333
547-0,Streptococcus.beta-hemolytic [Presence] in Unspecified specimen by Organism specific culture,B-Hem Strep XXX Ql Cult,MICRO,334
5194-6,Hepatitis B virus surface Ab [Units/volume] in Serum by Radioimmunoassay (RIA),HBV surface Ab Ser RIA-aCnc,MICRO,335
18955-5,Nitrofurantoin [Susceptibility],Nitrofurantoin Susc Islt,ABXBACT,336
18481-2,Streptococcus pyogenes Ag [Presence] in Throat,S pyo Ag Throat Ql,MICRO,337
1504-0,Glucose [Mass/volume] in Serum or Plasma --1 hour post 50 g glucose PO,Glucose 1h p 50 g Glc PO SerPl-mCnc,CHAL,338
12235-8,Microscopic observation [Identifier] in Urine sediment by Light microscopy,Micro UrnS,UA,339
7791-7,Dacrocytes [Presence] in Blood by Light microscopy,Dacryocytes Bld Ql Smear,HEM/BC,340
2143-6,Cortisol [Mass/volume] in Serum or Plasma,Cortis SerPl-mCnc,Chem,341
46744-9,Organic acidemias newborn screen interpretation,OA DBS-Imp,Chem,342
14611-8,Nuclear Ab pattern [interpretation] in Serum,ANA Pat Ser-Imp,SERO,343
8099-4,Thyroperoxidase Ab [Units/volume] in Serum or Plasma,Thyroperoxidase Ab SerPl-aCnc,SERO,344
5048-4,Nuclear Ab [Titer] in Serum by Immunofluorescence,ANA Titr Ser IF,SERO,345
2524-7,Lactate [Moles/volume] in Serum or Plasma,Lactate SerPl-sCnc,Chem,346
763-3,Neutrophils.band form [#/volume] in Blood by Manual count,Neuts Band # Bld Manual,HEM/BC,347
30522-7,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method,CRP SerPl HS-mCnc,Chem,348
11156-7,Leukocyte morphology finding [Identifier] in Blood,WBC morph Bld,HEM/BC,349
19000-9,Vancomycin [Susceptibility],Vancomycin Susc Islt,ABXBACT,350
2335-8,Hemoglobin.gastrointestinal [Presence] in Stool,Hemoccult Stl Ql,Chem,351
6824-7,Color of Body fluid,Color Fld,SPEC,352
24113-3,Hepatitis B virus core IgM Ab [Presence] in Serum by Immunoassay,HBV core IgM SerPl Ql IA,MICRO,353
14578-9,ABO group [Type] in Blood from Blood product unit,ABO Group Bld BPU,BLDBK,354
14907-0,Rh [Type] in Blood from Blood product unit,Rh Bld BPU,BLDBK,355
3968-5,Phenytoin [Mass/volume] in Serum or Plasma,Phenytoin SerPl-mCnc,DRUG/TOX,356
10535-3,Digoxin [Mass/volume] in Serum or Plasma,Digoxin SerPl-mCnc,DRUG/TOX,357
13965-9,Homocysteine [Moles/volume] in Serum or Plasma,Hcys SerPl-sCnc,Chem,358
35674-1,Creatinine [Mass/volume] in unspecified time Urine,Creat ?Tm Ur-mCnc,Chem,359
18893-8,Ceftazidime [Susceptibility],Ceftazidime Susc Islt,ABXBACT,360
18970-4,Piperacillin+Tazobactam [Susceptibility],Pip+Tazo Susc Islt,ABXBACT,361
54218-3,CD3+CD4+ (T4 helper) cells/CD3+CD8+ (T8 suppressor cells) cells [# Ratio] in Blood,CD3+CD4+ Cells/CD3+CD8+ Cells Bld,CELLMARK,362
800-3,Schistocytes [Presence] in Blood by Light microscopy,Schistocytes Bld Ql Smear,HEM/BC,363
21198-7,Choriogonadotropin.beta subunit [Units/volume] in Serum or Plasma,B-HCG SerPl-aCnc,Chem,364
5643-2,Ethanol [Mass/volume] in Serum or Plasma,Ethanol SerPl-mCnc,DRUG/TOX,365
22763-7,Ammonia [Mass/volume] in Plasma,Ammonia Plas-mCnc,Chem,366
16362-6,Ammonia [Moles/volume] in Plasma,Ammonia Plas-sCnc,Chem,367
3426-4,Tetrahydrocannabinol [Presence] in Urine,THC Ur Ql,DRUG/TOX,368
26487-9,Monocytes/100 leukocytes in Body fluid,Monocytes/leuk NFr Fld,HEM/BC,369
11031-2,Lymphocytes/100 leukocytes in Body fluid,Lymphocytes/leuk NFr Fld,HEM/BC,370
749-2,Myelocytes/100 leukocytes in Blood by Manual count,Myelocytes/leuk NFr Bld Manual,HEM/BC,371
18932-4,Imipenem [Susceptibility],Imipenem Susc Islt,ABXBACT,372
18943-1,Meropenem [Susceptibility],Meropenem Susc Islt,ABXBACT,373
32673-6,Creatine kinase.MB [Enzymatic activity/volume] in Serum or Plasma,CK MB SerPl-cCnc,Chem,374
22322-2,Hepatitis B virus surface Ab [Presence] in Serum,HBV surface Ab Ser Ql,MICRO,375
13655-6,Leukocytes [Presence] in Stool by Light microscopy,WBC Stl Ql Micro,HEM/BC,376
8123-2,CD3+CD4+ (T4 helper) cells/100 cells in Blood,CD3+CD4+ Cells NFr Bld,CELLMARK,377
26498-6,Myelocytes/100 leukocytes in Blood,Myelocytes/leuk NFr Bld,HEM/BC,378
19162-7,Varicella zoster virus IgG Ab [Presence] in Serum,VZV IgG Ser Ql,MICRO,379
18879-7,Cefepime [Susceptibility],Cefepime Susc Islt,ABXBACT,380
5783-6,Unidentified crystals [Presence] in Urine sediment by Light microscopy,Unident Crys UrnS Ql Micro,UA,381
4092-3,Vancomycin [Mass/volume] in Serum or Plasma --trough,Vancomycin Trough SerPl-mCnc,DRUG/TOX,382
8124-0,CD3 cells/100 cells in Blood,CD3 Cells NFr Bld,CELLMARK,383
31017-7,Tissue transglutaminase IgA Ab [Units/volume] in Serum,tTG IgA Ser-aCnc,SERO,384
3150-0,Inhaled oxygen concentration (FIO2),Inhaled O2 concentration,CLIN,385
1834-1,Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma,AFP SerPl-mCnc,Chem,386
3167-4,Volume of 24 hour Urine,Specimen vol 24h Ur,SPEC,387
18895-3,Ceftriaxone [Susceptibility],Ceftriaxone Susc Islt,ABXBACT,388
1925-7,Base excess in Arterial blood,Base excess BldA Calc-sCnc,Chem,389
1990-1,Cholecalciferol (Vit D3) [Mass/volume] in Serum or Plasma,Vitamin D3 SerPl-mCnc,Chem,390
2236-8,Calciferol (Vit D2) [Mass/volume] in Serum or Plasma,Vitamin D2 SerPl-mCnc,Chem,391
20448-7,Insulin [Units/volume] in Serum or Plasma,Insulin SerPl-aCnc,Chem,392
18993-6,Tetracycline [Susceptibility],Tetracycline Susc Islt,ABXBACT,393
17790-7,Leukocytes Left Shift [Presence] in Blood by Automated count,WBC Left Shift Bld Ql Auto,HEM/BC,394
13955-0,Hepatitis C virus Ab [Presence] in Serum by Immunoassay,HCV Ab SerPl Ql IA,MICRO,395
18996-9,Tobramycin [Susceptibility],Tobramycin Susc Islt,ABXBACT,396
8101-8,CD3+CD8+ (T8 suppressor cells) cells/100 cells in Blood,CD3+CD8+ Cells NFr Bld,CELLMARK,397
13451-0,Creatinine dialysis fluid clearance,Creat Cl Dial fld+SerPl-vRate,Chem,398
1305-2,D Ag [Presence] in Blood,D Ag Bld Ql,BLDBK,399
5130-0,DNA double strand Ab [Units/volume] in Serum,dsDNA Ab Ser-aCnc,SERO,400
46737-3,Galactosemias newborn screen interpretation,Galactosemias DBS-Imp,Chem,401
3298-7,Acetaminophen [Mass/volume] in Serum or Plasma,APAP SerPl-mCnc,DRUG/TOX,402
14895-7,Protein Fractions [interpretation] in Serum or Plasma by Immunofixation,Prot Pattern SerPl IFE-Imp,Chem,403
18886-2,Cefotaxime [Susceptibility],Cefotaxime Susc Islt,ABXBACT,404
46733-2,Amino acidemias newborn screen interpretation,Amino acidemias DBS-Imp,Chem,405
35492-8,Methicillin resistant Staphylococcus aureus (MRSA) DNA [Presence] by Probe & target amplification method,MRSA DNA XXX Ql PCR,ABXBACT,406
46736-5,Fatty acid oxidation defects newborn screen interpretation,FOD DBS-Imp,Chem,407
4086-5,Valproate [Mass/volume] in Serum or Plasma,Valproate SerPl-mCnc,DRUG/TOX,408
38478-4,Biotinidase [Presence] in Dried blood spot,Biotinidase DBS Ql,Chem,409
34148-7,Borrelia burgdorferi IgG+IgM Ab [Units/volume] in Serum,B burgdor IgG+IgM Ser-aCnc,MICRO,410
18969-6,Piperacillin [Susceptibility],Piperacillin Susc Islt,ABXBACT,411
2955-3,Sodium [Moles/volume] in Urine,Sodium Ur-sCnc,Chem,412
10381-2,Target cells [Presence] in Blood by Light microscopy,Targets Bld Ql Smear,HEM/BC,413
18860-7,Amikacin [Susceptibility],Amikacin Susc Islt,ABXBACT,414
12238-2,Neutrophils/100 leukocytes in Body fluid by Manual count,Neutrophils/leuk NFr Fld Manual,HEM/BC,415
8098-6,Thyroglobulin Ab [Units/volume] in Serum or Plasma,Thyroglob Ab SerPl-aCnc,SERO,416
3773-9,Methadone [Presence] in Urine,Methadone Ur Ql,DRUG/TOX,417
26452-3,Eosinophils/100 leukocytes in Body fluid,Eosinophil/leuk NFr Fld,HEM/BC,418
18961-3,Oxacillin [Susceptibility],Oxacillin Susc Islt,ABXBACT,419
10352-3,Bacteria identified in Genital specimen by Aerobe culture,Bacteria Genital Aerobe Cult,MICRO,420
4073-3,Tricyclic antidepressants [Presence] in Serum or Plasma,Tricyclics SerPl Ql,DRUG/TOX,421
1006-6,Direct antiglobulin test.IgG specific reagent [interpretation] on Red Blood Cells,DAT IgG-Sp Reag RBC-Imp,BLDBK,422
31160-5,Polymorphonuclear cells/100 leukocytes in Blood by Manual count,Polys/leuk NFr Bld Manual,HEM/BC,423
7790-9,Burr cells [Presence] in Blood by Light microscopy,Burr Cells Bld Ql Smear,HEM/BC,424
543-9,Mycobacterium sp identified in Unspecified specimen by Organism specific culture,Mycobacterium XXX Cult,MICRO,425
20564-1,Oxygen saturation in Blood,SaO2 % Bld,HEMODYN.MOLEC,426
8122-4,CD3 cells [#/volume] in Blood,CD3 Cells # Bld,CELLMARK,427
21667-1,F5 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,F5 gene Mut Anal Bld/T,MOLPATH.MUT,428
584-3,Streptococcus agalactiae [Presence] in Vaginal fluid by Organism specific culture,Gp B Strep Vag Ql Cult,MICRO,429
10334-1,Cancer Ag 125 [Units/volume] in Serum or Plasma,Cancer Ag125 SerPl-aCnc,Chem,430
34713-8,Clostridium difficile toxin A+B [Presence] in Stool,C dif Tox A+B Stl Ql,MICRO,431
26510-8,Neutrophils.band form/100 leukocytes in Body fluid,Neuts Band/leuk NFr Fld,HEM/BC,432
8246-1,Amorphous sediment [Presence] in Urine sediment by Light microscopy,Amorph Sed UrnS Ql Micro,UA,433
18919-1,Erythromycin [Susceptibility],Erythromycin Susc Islt,ABXBACT,434
26455-6,Erythrocytes [#/volume] in Body fluid,RBC # Fld,HEM/BC,435
4485-9,Complement C3 [Mass/volume] in Serum or Plasma,C3 SerPl-mCnc,HEM/BC,436
4498-2,Complement C4 [Mass/volume] in Serum or Plasma,C4 SerPl-mCnc,HEM/BC,437
57845-0,Leukocytes [#/volume] in Body fluid by Automated count,WBC # Fld Auto,HEM/BC,438
5176-3,Helicobacter pylori IgG Ab [Units/volume] in Serum by Immunoassay,H pylori IgG Ser IA-aCnc,MICRO,439
16128-1,Hepatitis C virus Ab [Presence] in Serum,HCV Ab Ser Ql,MICRO,440
14135-8,CD3+CD8+ (T8 suppressor cells) cells [#/volume] in Blood,CD3+CD8+ Cells # Bld,CELLMARK,441
7918-6,HIV 1+2 Ab [Presence] in Serum,HIV1+2 Ab Ser Ql,MICRO,442
19312-8,Tricyclic antidepressants [Presence] in Urine by Screen method,Tricyclics Ur Ql Scn,DRUG/TOX,443
18908-4,Clindamycin [Susceptibility],Clindamycin Susc Islt,ABXBACT,444
2162-6,Creatinine [Mass/time] in 24 hour Urine,Creat 24h Ur-mRate,Chem,445
13518-6,Lymphocytes Variant/100 leukocytes in Body fluid by Manual count,Variant Lymphs/leuk NFr Fld Manual,HEM/BC,446
12179-8,Basophils/100 leukocytes in Body fluid by Manual count,Basophils/leuk NFr Fld Manual,HEM/BC,447
6864-3,Hemoglobin S [Presence] in Blood by Solubility test,Hgb S Bld Ql Soly,HEM/BC,448
49563-0,Troponin I.cardiac [Mass/volume] in Serum or Plasma by Detection limit = 0.01 ng/mL,Troponin I SerPl DL<=0.01 ng/mL-mCnc,Chem,449
33255-1,Cell Fractions/Differential [interpretation] in Blood,Cell Fract Bld-Imp,HEM/BC,450
2708-6,Oxygen saturation in Arterial blood,SaO2 % BldA,Chem,451
5209-2,Herpes simplex virus 2 IgG Ab [Units/volume] in Serum by Immunoassay,HSV2 IgG Ser IA-aCnc,MICRO,452
18964-7,Penicillin [Susceptibility],Penicillin Susc Islt,ABXBACT,453
18868-0,Aztreonam [Susceptibility],Aztreonam Susc Islt,ABXBACT,454
1863-0,Anion gap 4 in Serum or Plasma,Anion Gap4 SerPl-sCnc,Chem,455
29574-1,Thyrotropin [Presence] in Dried blood spot,TSH DBS Ql,Chem,456
19994-3,Oxygen/Inspired gas setting [Volume Fraction] Ventilator,O2/Inspired gas setting VFr Vent,PULM,457
32854-2,17-Hydroxyprogesterone [Presence] in Dried blood spot,17OHP DBS Ql,CHEM,458
29571-7,Phenylalanine [Presence] in Dried blood spot,Phe DBS Ql,Chem,459
21654-9,CFTR gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,CFTR Mut Anal Bld/T,MOLPATH.MUT,460
38486-7,Homocystine [Presence] in Dried blood spot,(Hcys)2 DBS Ql,Chem,461
38479-2,Branched chain keto-acid dehydrogenase complex [Presence] in Dried blood spot,BCKAD DBS Ql,CHEM,462
46779-5,Medium/Short chain acyl-CoA dehydrogenase deficiency newborn screen interpretation,M/SCHADD DBS-Imp,Chem,463
4024-6,Salicylates [Mass/volume] in Serum or Plasma,Salicylates SerPl-mCnc,DRUG/TOX,464
2095-8,Cholesterol in HDL/Cholesterol.total [Mass ratio] in Serum or Plasma,HDLc SerPl,Chem,465
19113-0,IgE [Units/volume] in Serum,IgE SerPl-aCnc,Chem,466
12232-5,Measles virus Ag [Presence] in Unspecified specimen by Immunofluorescence,MeV Ag XXX Ql IF,MICRO,467
2191-5,Dehydroepiandrosterone sulfate (DHEA-S) [Mass/volume] in Serum or Plasma,DHEA-S SerPl-mCnc,Chem,468
625-4,Bacteria identified in Stool by Culture,Bacteria Stl Cult,MICRO,469
24475-6,F2 gene p.G20210A [Presence] in Blood or Tissue by Molecular genetics method,F2 c.20210G>A Bld/T Ql,MOLPATH.MUT,470
30318-0,Base deficit in Blood,Base deficit Bld-sCnc,Chem,471
743-5,Monocytes [#/volume] in Blood by Manual count,Monocytes # Bld Manual,HEM/BC,472
5569-9,Acetone [Presence] in Urine,Acetone Ur Ql,DRUG/TOX,473
3520-4,Cyclosporine [Mass/volume] in Blood,Cyclosporin Bld-mCnc,DRUG/TOX,474
32693-4,Lactate [Moles/volume] in Blood,Lactate Bld-sCnc,Chem,475
48065-7,Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma,D dimer FEU PPP-mCnc,COAG,476
2110-5,Choriogonadotropin.beta subunit (pregnancy test) [Presence] in Serum or Plasma,B-HCG Preg SerPl Ql,Chem,477
13952-7,Hepatitis B virus core Ab [Presence] in Serum by Immunoassay,HBV core Ab SerPl Ql IA,MICRO,478
610-6,Bacteria identified in Body fluid by Aerobe culture,Bacteria Fld Aerobe Cult,MICRO,479
5403-1,Varicella zoster virus IgG Ab [Units/volume] in Serum by Immunoassay,VZV IgG Ser IA-aCnc,MICRO,480
803-7,Toxic granules [Presence] in Blood by Light microscopy,Toxic Granules Bld Ql Smear,HEM/BC,481
33358-3,Protein.monoclonal [Mass/volume] in Serum or Plasma by Electrophoresis,M Protein SerPl Elph-mCnc,Chem,482
65633-0,Hepatitis B virus surface Ag [Presence] in Serum by Confirmatory method,HBV surface Ag SerPl Ql Cfm,MICRO,483
10524-7,Microscopic observation [Identifier] in Cervix by Cyto stain,Cyto Cvx,CYTO,484
29247-4,Sirolimus [Mass/volume] in Blood,Sirolimus Bld-mCnc,DRUG/TOX,485
739-3,Metamyelocytes [#/volume] in Blood by Manual count,Metamyelocytes # Bld Manual,HEM/BC,486
2889-4,Protein [Mass/time] in 24 hour Urine,Prot 24h Ur-mRate,Chem,487
18887-0,Cefotetan [Susceptibility],Cefotetan Susc Islt,ABXBACT,488
10335-8,Color of Cerebral spinal fluid,Color CSF,SPEC,489
2505-6,Iron/Iron binding capacity.total [Mass ratio] in Serum or Plasma,Iron/TIBC SerPl,Chem,490
30089-7,Transitional cells [#/area] in Urine sediment by Microscopy high power field,Trans Cells #/area UrnS HPF,UA,491
20761-3,Clostridium difficile [Presence] in Stool by Agglutination,C dif Stl Ql Aggl,MICRO,492
2828-2,Potassium [Moles/volume] in Urine,Potassium Ur-sCnc,Chem,493
29891-9,Helicobacter pylori [Presence] in Stomach by urea breath test,Urea Breath Test Ql,MICRO,494
19107-2,Histoplasma capsulatum Ag [Units/volume] in Serum by Radioimmunoassay (RIA),H capsul Ag Ser RIA-aCnc,MICRO,495
2639-3,Myoglobin [Mass/volume] in Serum or Plasma,Myoglobin SerPl-mCnc,Chem,496
5028-6,Neisseria gonorrhoeae rRNA [Presence] in Unspecified specimen by DNA probe,N gonorrhoea rRNA XXX Ql Prb,MICRO,497
1922-4,Base deficit in Arterial blood,Base deficit BldA-sCnc,Chem,498
48058-2,Fibrin D-dimer DDU [Mass/volume] in Platelet poor plasma by Immunoassay,D dimer DDU PPP IA-mCnc,COAG,499
35365-6,Vitamin D+Metabolites [Mass/volume] in Serum or Plasma,Vit D+metab SerPl-mCnc,Chem,500
772-4,Nucleated erythrocytes [#/volume] in Blood by Manual count,nRBC # Bld Manual,HEM/BC,501
806-0,Leukocytes [#/volume] in Cerebral spinal fluid by Manual count,WBC # CSF Manual,HEM/BC,502
1649-3,Calcitriol [Mass/volume] in Serum or Plasma,"1,25(OH)2D3 SerPl-mCnc",Chem,503
3181-5,Cardiolipin IgG Ab [Units/volume] in Serum by Immunoassay,Cardiolipin IgG Ser IA-aCnc,COAG,504
3182-3,Cardiolipin IgM Ab [Units/volume] in Serum by Immunoassay,Cardiolipin IgM Ser IA-aCnc,COAG,505
4546-8,Hemoglobin A/Hemoglobin.total in Blood,Hgb A MFr Bld,HEM/BC,506
49541-6,Fasting status [Presence] - Reported,Fasting status Patient Ql Reported,MISC,507
4576-5,Hemoglobin F/Hemoglobin.total in Blood,Hgb F MFr Bld,HEM/BC,508
2890-2,Protein/Creatinine [Mass ratio] in Urine,Prot/Creat Ur,Chem,509
33935-8,Cyclic citrullinated peptide IgG Ab [Units/volume] in Serum,cCP IgG SerPl-aCnc,SERO,510
16935-9,Hepatitis B virus surface Ab [Units/volume] in Serum,HBV surface Ab Ser-aCnc,MICRO,511
